Time,Set Spd,Phase
[sec],[mph],[#]
96.7,30.05,1
96.8,30.00,1
96.9,29.95,1
97,29.90,1
97.1,29.86,1
97.2,29.82,1
97.3,29.78,1
97.4,29.74,1
97.5,29.70,1
97.6,29.66,1
97.7,29.62,1
97.8,29.58,1
97.9,29.54,1
98,29.51,1
98.1,29.53,1
98.2,29.56,1
98.3,29.59,1
98.4,29.62,1
98.5,29.65,1
98.6,29.68,1
98.7,29.71,1
98.8,29.74,1
98.9,29.77,1
99,29.80,1
99.1,29.85,1
99.2,29.90,1
99.3,29.95,1
99.4,30.00,1
99.5,30.05,1
99.6,30.10,1
99.7,30.15,1
99.8,30.20,1
99.9,30.25,1
100,30.30,1
100.1,30.34,1
100.2,30.38,1
100.3,30.42,1
100.4,30.46,1
100.5,30.50,1
100.6,30.54,1
100.7,30.58,1
100.8,30.62,1
100.9,30.66,1
101,30.70,1
101.1,30.72,1
101.2,30.74,1
101.3,30.76,1
101.4,30.78,1
101.5,30.80,1
101.6,30.82,1
101.7,30.84,1
101.8,30.86,1
101.9,30.88,1
102,30.90,1
102.1,30.91,1
102.2,30.92,1
102.3,30.93,1
102.4,30.94,1
102.5,30.95,1
102.6,30.96,1
102.7,30.97,1
102.8,30.98,1
102.9,30.99,1
103,31.00,1
103.1,30.99,1
103.2,30.98,1
103.3,30.97,1
103.4,30.96,1
103.5,30.95,1
103.6,30.94,1
103.7,30.93,1
103.8,30.92,1
103.9,30.91,1
104,30.89,1
104.1,30.85,1
104.2,30.80,1
104.3,30.75,1
104.4,30.70,1
104.5,30.65,1
104.6,30.60,1
104.7,30.55,1
104.8,30.50,1
104.9,30.45,1
105,30.40,1
105.1,30.34,1
105.2,30.28,1
105.3,30.22,1
105.4,30.16,1
105.5,30.10,1
105.6,30.04,1
105.7,29.98,1
105.8,29.92,1
105.9,29.86,1
106,29.81,1
106.1,29.81,1
106.2,29.82,1
106.3,29.83,1
106.4,29.84,1
106.5,29.85,1
106.6,29.86,1
106.7,29.87,1
106.8,29.88,1
106.9,29.89,1
107,29.90,1
107.1,29.93,1
107.2,29.96,1
107.3,29.99,1
107.4,30.02,1
107.5,30.05,1
107.6,30.08,1
107.7,30.11,1
107.8,30.14,1
107.9,30.17,1
108,30.20,1
108.1,30.25,1
108.2,30.30,1
108.3,30.35,1
108.4,30.40,1
108.5,30.45,1
108.6,30.50,1
108.7,30.55,1
108.8,30.60,1
108.9,30.65,1
109,30.70,1
109.1,30.75,1
109.2,30.80,1
109.3,30.85,1
109.4,30.90,1
109.5,30.95,1
109.6,31.00,1
109.7,31.05,1
109.8,31.10,1
109.9,31.15,1
110,31.20,1
110.1,31.26,1
110.2,31.32,1
110.3,31.38,1
110.4,31.44,1
110.5,31.50,1
110.6,31.56,1
110.7,31.62,1
110.8,31.68,1
110.9,31.74,1
111,31.80,1
111.1,31.84,1
111.2,31.88,1
111.3,31.92,1
111.4,31.96,1
111.5,32.00,1
111.6,32.04,1
111.7,32.08,1
111.8,32.12,1
111.9,32.16,1
112,32.20,1
112.1,32.22,1
112.2,32.24,1
112.3,32.26,1
112.4,32.28,1
112.5,32.30,1
112.6,32.32,1
112.7,32.34,1
112.8,32.36,1
112.9,32.38,1
113,32.40,1
113.1,32.38,1
113.2,32.36,1
113.3,32.34,1
113.4,32.32,1
113.5,32.30,1
113.6,32.28,1
113.7,32.26,1
113.8,32.24,1
113.9,32.22,1
114,32.20,1
114.1,32.15,1
114.2,32.10,1
114.3,32.05,1
114.4,32.00,1
114.5,31.95,1
114.6,31.90,1
114.7,31.85,1
114.8,31.80,1
114.9,31.75,1
115,31.67,1
115.1,31.38,1
115.2,31.07,1
115.3,30.76,1
115.4,30.45,1
115.5,30.14,1
115.6,29.83,1
115.7,29.52,1
115.8,29.21,1
115.9,28.90,1
116,28.59,1
116.1,28.26,1
116.2,27.93,1
116.3,27.60,1
116.4,27.27,1
116.5,26.94,1
116.6,26.61,1
116.7,26.28,1
116.8,25.95,1
116.9,25.62,1
117,25.29,1
117.1,24.96,1
117.2,24.63,1
117.3,24.30,1
117.4,23.97,1
117.5,23.64,1
117.6,23.31,1
117.7,22.98,1
117.8,22.65,1
117.9,22.32,1
118,21.99,1
118.1,21.66,1
118.2,21.33,1
118.3,21.00,1
118.4,20.67,1
118.5,20.34,1
118.6,20.01,1
118.7,19.68,1
118.8,19.35,1
118.9,19.02,1
119,18.69,1
119.1,18.36,1
119.2,18.03,1
119.3,17.70,1
119.4,17.37,1
119.5,17.04,1
119.6,16.71,1
119.7,16.38,1
119.8,16.05,1
119.9,15.72,1
120,15.39,1
120.1,15.06,1
120.2,14.73,1
120.3,14.40,1
120.4,14.07,1
120.5,13.74,1
120.6,13.41,1
120.7,13.08,1
120.8,12.75,1
120.9,12.42,1
121,12.09,1
121.1,11.76,1
121.2,11.43,1
121.3,11.10,1
121.4,10.77,1
121.5,10.44,1
121.6,10.11,1
121.7,9.78,1
121.8,9.45,1
121.9,9.12,1
122,8.79,1
122.1,8.46,1
122.2,8.13,1
122.3,7.80,1
122.4,7.47,1
122.5,7.14,1
122.6,6.81,1
122.7,6.48,1
122.8,6.15,1
122.9,5.82,1
123,5.49,1
123.1,5.16,1
123.2,4.83,1
123.3,4.50,1
123.4,4.17,1
123.5,3.84,1
123.6,3.51,1
123.7,3.18,1
123.8,2.85,1
123.9,2.52,1
124,2.20,1
124.1,1.97,1
124.2,1.75,1
124.3,1.53,1
124.4,1.31,1
124.5,1.09,1
124.6,0.87,1
124.7,0.65,1
124.8,0.43,1
124.9,0.21,1
125,0.02,1
125.1,0.00,1
125.2,0.00,1
125.3,0.00,1
125.4,0.00,1
125.5,0.00,1
125.6,0.00,1
125.7,0.00,1
125.8,0.00,1
125.9,0.00,1
126,0.00,1
126.1,0.00,1
126.2,0.00,1
126.3,0.00,1
126.4,0.00,1
126.5,0.00,1
126.6,0.00,1
126.7,0.00,1
126.8,0.00,1
126.9,0.00,1
127,0.00,1
127.1,0.00,1
127.2,0.00,1
127.3,0.00,1
127.4,0.00,1
127.5,0.00,1
127.6,0.00,1
127.7,0.00,1
127.8,0.00,1
127.9,0.00,1
128,0.00,1
128.1,0.00,1
128.2,0.00,1
128.3,0.00,1
128.4,0.00,1
128.5,0.00,1
128.6,0.00,1
128.7,0.00,1
128.8,0.00,1
128.9,0.00,1
129,0.00,1
129.1,0.00,1
129.2,0.00,1
129.3,0.00,1
129.4,0.00,1
129.5,0.00,1
129.6,0.00,1
129.7,0.00,1
129.8,0.00,1
129.9,0.00,1
130,0.00,1
130.1,0.00,1
130.2,0.00,1
130.3,0.00,1
130.4,0.00,1
130.5,0.00,1
130.6,0.00,1
130.7,0.00,1
130.8,0.00,1
130.9,0.00,1
131,0.00,1
131.1,0.00,1
131.2,0.00,1
131.3,0.00,1
131.4,0.00,1
131.5,0.00,1
131.6,0.00,1
131.7,0.00,1
131.8,0.00,1
131.9,0.00,1
132,0.00,1
132.1,0.00,1
132.2,0.00,1
132.3,0.00,1
132.4,0.00,1
132.5,0.00,1
132.6,0.00,1
132.7,0.00,1
132.8,0.00,1
132.9,0.00,1
133,0.00,1
133.1,0.00,1
133.2,0.00,1
133.3,0.00,1
133.4,0.00,1
133.5,0.00,1
133.6,0.00,1
133.7,0.00,1
133.8,0.00,1
133.9,0.00,1
134,0.00,1
134.1,0.00,1
134.2,0.00,1
134.3,0.00,1
134.4,0.00,1
134.5,0.00,1
134.6,0.00,1
134.7,0.00,1
134.8,0.00,1
134.9,0.00,1
135,0.00,1
135.1,0.00,1
135.2,0.00,1
135.3,0.00,1
135.4,0.00,1
135.5,0.00,1
135.6,0.00,1
135.7,0.00,1
135.8,0.00,1
135.9,0.00,1
136,0.00,1
136.1,0.00,1
136.2,0.00,1
136.3,0.00,1
136.4,0.00,1
136.5,0.00,1
136.6,0.00,1
136.7,0.00,1
136.8,0.00,1
136.9,0.00,1
137,0.00,1
137.1,0.00,1
137.2,0.00,1
137.3,0.00,1
137.4,0.00,1
137.5,0.00,1
137.6,0.00,1
137.7,0.00,1
137.8,0.00,1
137.9,0.00,1
138,0.00,1
138.1,0.00,1
138.2,0.00,1
138.3,0.00,1
138.4,0.00,1
138.5,0.00,1
138.6,0.00,1
138.7,0.00,1
138.8,0.00,1
138.9,0.00,1
139,0.00,1
139.1,0.00,1
139.2,0.00,1
139.3,0.00,1
139.4,0.00,1
139.5,0.00,1
139.6,0.00,1
139.7,0.00,1
139.8,0.00,1
139.9,0.00,1
140,0.00,1
140.1,0.00,1
140.2,0.00,1
140.3,0.00,1
140.4,0.00,1
140.5,0.00,1
140.6,0.00,1
140.7,0.00,1
140.8,0.00,1
140.9,0.00,1
141,0.00,1
141.1,0.00,1
141.2,0.00,1
141.3,0.00,1
141.4,0.00,1
141.5,0.00,1
141.6,0.00,1
141.7,0.00,1
